gene_symbol,node_name
TWIST1,TWIST1
SNAI1,SNAI1
MIR-200A/200A,miR200
DKK1,DKK1
CDH2,CDH2
CTNNB1,CTNNB1
NOTCH1,NICD
SMAD2,SMAD
SMAD3,SMAD
SMAD4,SMAD
VIM,VIM
TP53,p53
CDH1,CDH1
MAPK3,ERK
AKT2,AKT2
MIR-203/203A,miR203
MIR-34/34A,miR34
SNAI2,SNAI2
TP73,p73
AKT1,AKT1
TP63,p63
ZEB2,ZEB2
TGFBR1,TGFbeta
ZEB1,ZEB1
CDKN1A,p21
