gene_symbol,node_name
EGFR,EGFR
STAT3,STAT3
FOXA1,FOXA1
FOXC1,FOXC1
SNAI1,SNAI1
SRC,cSrc
CCDC170,C6orf97
HDAC1,HDAC12
HDAC2,HDAC12
CCND1,CCND1
KRAS,KRAS
ESR1,ERa
ZEB1,ZEB1
GATA3,GATA3
PI3KCA,PI3K
BCL11A,BCL11A
AKT1,AKT
SNAI2,SLUG
ESR1,ESR1
MAPK3,ERK12
MAPK1,ERK12
PTEN,PTEN
