gene_symbol,node_name
CCNE1,CyclinE1
CDKN1A,p21
ESR1,ERa
CDKN1B,p27
MYC,c-MYC
EGFR,ERBB1
ERBB2,ERBB2
CDK2,CDK2
MAP2K1,MEK1
CDK6,CDK6
CCND1,CyclinD1
IGF1R,IGF1R
AKT1,AKT1
CDK4,CDK4
ERBB3,ERBB3
