STUDY_ID	SAMPLE_ID	AKT1	AKT2	AKT3	MAP3K1	MAP3K2	MAP3K3
blca_tcga_pub_2017	TCGA-DK-A3IM-01	-0.9159	0.3412	-0.2406	1.0646	1.3308	-0.2141
blca_tcga_pub_2017	TCGA-DK-A3IN-01	0.1554	-0.5103	1.3037	-0.1031	0.9305	0.2062
blca_tcga_pub_2017	TCGA-DK-A3IQ-01	0.3909	0.0966	1.6495	-0.7136	0.5854	2.3996
blca_tcga_pub_2017	TCGA-DK-A3IT-01	0.8416	-1.2619	0.4013	-1	0.624	0.7245
blca_tcga_pub_2017	TCGA-DK-A3IU-01	-0.5721	0.0293	1.2779	1.853	-0.2342	1.2742
blca_tcga_pub_2017	TCGA-FD-A3B5-01	1.0874	0.8216	0.6585	0.2915	1.2857	0.6422
blca_tcga_pub_2017	TCGA-FD-A3B6-01	-1.1322	-0.4867	-1.0148	0.9732	0.8602	0.1493
blca_tcga_pub_2017	TCGA-FD-A3B7-01	0.3522	-0.8974	0.7927	1.1557	0.6761	0.8115
blca_tcga_pub_2017	TCGA-FD-A3B8-01	0.4528	-0.0161	1.4578	0.5778	1.7127	2.1507
blca_tcga_pub_2017	TCGA-G2-A3IB-01	0.3699	-0.2825	-1.9719	0.4743	0.7777	-1.0231
blca_tcga_pub_2017	TCGA-G2-A3IE-01	2.3127	-1.1317	-1.6244	-0.37	-0.6781	-1.3397
blca_tcga_pub_2017	TCGA-GC-A3I6-01	-0.2657	-1.2513	-0.5612	1.0199	1.9367	-0.3082
blca_tcga_pub_2017	TCGA-GV-A3JW-01	1.2209	1.4804	-0.2384	-0.5122	1.0149	-1.9124
blca_tcga_pub_2017	TCGA-GV-A3JX-01	2.2865	0.5322	0.9604	0.4681	1.0681	0.3284
blca_tcga_pub_2017	TCGA-BL-A3JM-01	-0.0814	1.1035	2.0492	0.3656	0.1358	0.6736
blca_tcga_pub_2017	TCGA-CF-A3MF-01	2.0438	-0.1435	-0.852	-0.503	-2.7942	0.9046
blca_tcga_pub_2017	TCGA-CU-A3KJ-01	0.0792	1.5523	2.4766	3.4388	1.4997	0.0577
blca_tcga_pub_2017	TCGA-DK-A2I4-01	-1.0547	-0.1058	1.1282	0.6234	1.143	1.3908
blca_tcga_pub_2017	TCGA-DK-A3IK-01	0.4917	0.0152	0.0217	-1.3199	-0.2733	-0.8347
blca_tcga_pub_2017	TCGA-DK-A3IS-01	1.1613	-0.1274	-0.9608	-0.1134	-0.7312	-1.3861
blca_tcga_pub_2017	TCGA-DK-A3IV-01	0.3532	-0.3509	0.272	1.3482	0.456	0.5457
blca_tcga_pub_2017	TCGA-FD-A3N5-01	0.3308	-0.0112	1.2743	0.7851	0.9956	0.7343
blca_tcga_pub_2017	TCGA-FD-A3N6-01	0.3591	-0.5263	-1.0023	1.1131	2.1904	-1.017
blca_tcga_pub_2017	TCGA-FD-A3NA-01	-0.3	-1.037	-0.5929	-0.9093	0.7992	-0.1025
blca_tcga_pub_2017	TCGA-GV-A3JZ-01	-2.9718	0.42	0.1352	1.2269	0.3123	0.0995
blca_tcga_pub_2017	TCGA-BT-A3PH-01	-0.0881	-1.9661	-0.8018	-2.2232	0.5034	-0.1739
blca_tcga_pub_2017	TCGA-BT-A3PJ-01	-0.2371	-1.3638	1.3659	-0.4099	0.6311	0.1421
blca_tcga_pub_2017	TCGA-BT-A3PK-01	0.2188	-0.9998	0.6318	-0.6824	0.9118	0.8676
blca_tcga_pub_2017	TCGA-GC-A3RB-01	-1.1132	-0.1077	-1.522	0.7476	0.9243	-0.9292
blca_tcga_pub_2017	TCGA-GD-A3OP-01	-1.0492	-0.3885	1.5769	0.8776	0.7882	0.5982
blca_tcga_pub_2017	TCGA-GD-A3OQ-01	0.3179	-0.4537	-0.6436	1.5549	0.6048	-0.5112
blca_tcga_pub_2017	TCGA-GD-A3OS-01	0.8396	1.4324	1.8011	-0.7704	1.4541	1.233
blca_tcga_pub_2017	TCGA-GV-A3JV-01	-0.8939	1.1625	-0.241	0.8823	-0.5904	-0.9106
blca_tcga_pub_2017	TCGA-GV-A3QG-01	0.157	-0.2601	1.3672	0.7537	0.2616	1.418
blca_tcga_pub_2017	TCGA-GV-A3QH-01	0.7298	0.8383	-1.1976	0.1379	0.4143	-0.6327
blca_tcga_pub_2017	TCGA-GV-A3QI-01	0.0971	-2.79	-0.2489	-0.5289	0.9399	-0.0053
blca_tcga_pub_2017	TCGA-CU-A3QU-01	0.5923	-1.2433	0.3484	0.2001	0.762	-0.3299
blca_tcga_pub_2017	TCGA-CU-A3YL-01	-0.215	2.5151	-0.3243	-0.4112	-0.7975	1.717
blca_tcga_pub_2017	TCGA-DK-A3WX-01	1.6085	0.4295	-0.0164	-0.004	0.7652	0.4783
blca_tcga_pub_2017	TCGA-DK-A3WY-01	-0.725	0.9022	0.4899	1.7084	0.3577	1.7707
blca_tcga_pub_2017	TCGA-DK-A3X1-01	2.1008	-1.4522	-0.307	-1.521	-0.1549	-0.2249
blca_tcga_pub_2017	TCGA-DK-A3X2-01	2.0352	0.006	-1.8724	-0.237	0.4621	-0.5628
blca_tcga_pub_2017	TCGA-E7-A3X6-01	0.9621	0.0367	-0.5376	-0.8901	1.5128	-0.0542
blca_tcga_pub_2017	TCGA-E7-A3Y1-01	1.133	0.0828	-0.532	-0.1189	-0.6448	0.3466
blca_tcga_pub_2017	TCGA-FD-A3SJ-01	-0.1985	2.0786	0.586	-0.7162	-0.3814	-0.2061
blca_tcga_pub_2017	TCGA-FD-A3SL-01	-0.7457	-0.2612	1.4368	0.2135	0.8848	1.0757
blca_tcga_pub_2017	TCGA-FD-A3SM-01	0.0664	-1.0049	0.1445	0.1924	1.5868	-0.3255
blca_tcga_pub_2017	TCGA-FD-A3SN-01	-1.7937	1.1106	0.0606	0.4347	0.9312	-0.2368
blca_tcga_pub_2017	TCGA-FD-A3SO-01	0.0635	-1.3235	0.0854	1.3296	0.9462	0.9164
blca_tcga_pub_2017	TCGA-FD-A3SP-01	-0.1111	-0.7516	1.4629	0.5073	0.8737	1.9962
blca_tcga_pub_2017	TCGA-FD-A3SQ-01	-0.642	0.3303	0.5811	1.5785	1.3343	1.321
blca_tcga_pub_2017	TCGA-FD-A3SR-01	0.3586	2.2541	1.502	2.014	0.831	1.5461
blca_tcga_pub_2017	TCGA-FD-A3SS-01	0.4793	0.4126	0.4891	1.2879	-0.025	0.4026
blca_tcga_pub_2017	TCGA-G2-A3VY-01	1.3066	1.7508	0.372	0.2175	0.7885	-0.57
blca_tcga_pub_2017	TCGA-GC-A3BM-01	0.628	0.1249	-0.598	0.8981	1.1753	0.6392
blca_tcga_pub_2017	TCGA-GC-A3OO-01	-0.6095	-0.6159	0.6484	0.3863	-0.1479	0.6872
blca_tcga_pub_2017	TCGA-GC-A3RC-01	1.0207	0.5415	0.7319	1.9379	1.1047	0.8811
blca_tcga_pub_2017	TCGA-GC-A3RD-01	-0.6684	1.5094	-0.7343	0.3285	0.2204	-0.7011
blca_tcga_pub_2017	TCGA-GC-A3WC-01	0.24	-0.3491	0.3798	2.0016	1.4918	0.1954
blca_tcga_pub_2017	TCGA-GV-A3QF-01	-1.2907	0.8992	-0.9786	-1.8965	-0.0535	0.0208
blca_tcga_pub_2017	TCGA-K4-A3WS-01	0.3935	1.6655	1.2193	-0.1426	0.2732	1.2131
blca_tcga_pub_2017	TCGA-K4-A3WV-01	0.7575	-0.8053	-1.5993	-0.6122	1.2868	-0.3934
blca_tcga_pub_2017	TCGA-BT-A42C-01	0.1445	0.325	-0.2527	0.0292	-0.0795	-0.9333
blca_tcga_pub_2017	TCGA-DK-A3WW-01	0.259	-1.2347	-1.0354	0.1871	-0.2882	-0.5825
blca_tcga_pub_2017	TCGA-FJ-A3Z7-01	-2.543	-0.3931	1.0493	-0.1653	-0.7932	0.4457
blca_tcga_pub_2017	TCGA-FJ-A3ZE-01	0.2926	-0.7887	-0.4127	-0.1531	1.0955	-0.8581
