track_name	track_type	TCGA-AA-3984	TCGA-AA-3715	TCGA-AA-A010	TCGA-AA-3821	TCGA-AG-3882	TCGA-A6-2677	TCGA-A6-2678	TCGA-AA-3556	TCGA-AA-3979	TCGA-AA-3866	TCGA-AA-A00Q	TCGA-AA-3521	TCGA-AA-A02F	TCGA-AA-3693	TCGA-AF-3913	TCGA-AA-3973	TCGA-AA-3544	TCGA-AG-3881	TCGA-AA-A004	TCGA-AA-3527	TCGA-AA-3966	TCGA-A6-2676	TCGA-AG-3883	TCGA-AA-3684	TCGA-AA-3672	TCGA-AA-3561	TCGA-AA-A00E	TCGA-AG-A011	TCGA-AA-3525	TCGA-AA-3522	TCGA-AA-3680	TCGA-AA-A00N	TCGA-AA-A00R	TCGA-AA-3877	TCGA-AA-3949	TCGA-A6-2674	TCGA-AA-3549	TCGA-AG-3587	TCGA-AF-3400	TCGA-AA-A02H	TCGA-A6-3807	TCGA-AG-3600	TCGA-AG-A002	TCGA-AA-3947	TCGA-AA-3845	TCGA-AA-3939	TCGA-AA-3524	TCGA-AA-3977	TCGA-AG-3726	TCGA-AG-3727	TCGA-AA-3710	TCGA-AA-3554	TCGA-AG-3601	TCGA-AA-3955	TCGA-AA-3534	TCGA-AA-3696	TCGA-AA-A01K	TCGA-AG-3575	TCGA-AG-3892	TCGA-AA-3831	TCGA-AA-A00U	TCGA-AG-4001	TCGA-AG-3878	TCGA-AG-4005	TCGA-AG-3894	TCGA-AA-A01D	TCGA-AA-A00O	TCGA-AA-A00D	TCGA-AG-3593	TCGA-AA-3930	TCGA-AA-3516	TCGA-AA-3864	TCGA-AA-3854	TCGA-AA-3870	TCGA-AA-A029	TCGA-AA-3673	TCGA-AG-A02X	TCGA-AA-3848	TCGA-AG-A014	TCGA-AG-3611	TCGA-AA-A01G	TCGA-AG-3605	TCGA-AA-A00L	TCGA-AG-A02G	TCGA-AA-A01Q	TCGA-AG-3594	TCGA-AA-3842	TCGA-AG-A01L	TCGA-AA-3555	TCGA-AA-A00K	TCGA-AA-3530	TCGA-AA-3818	TCGA-AG-A015	TCGA-AA-3664	TCGA-AA-A00J	TCGA-AG-3999	TCGA-AA-3681	TCGA-AA-3558	TCGA-AA-3532	TCGA-AA-A00A	TCGA-AG-3602	TCGA-A6-2683	TCGA-AA-3851	TCGA-AA-3994	TCGA-AG-3901	TCGA-AG-3887	TCGA-AA-A01I	TCGA-AG-A032	TCGA-AA-3560	TCGA-AG-3909	TCGA-AG-3586	TCGA-AG-A00H	TCGA-AA-A02W	TCGA-AF-2689	TCGA-AG-3896	TCGA-AA-A01F	TCGA-AA-3520	TCGA-AG-A00C	TCGA-AA-3975	TCGA-AA-3814	TCGA-AF-2691	TCGA-AG-3581	TCGA-AG-3902	TCGA-AG-4008	TCGA-AG-A008	TCGA-AA-3852	TCGA-AA-3837	TCGA-AG-3599	TCGA-AG-3583	TCGA-AA-3548	TCGA-AA-3695	TCGA-AA-3986	TCGA-AF-2692	TCGA-AG-A025	TCGA-AG-3580	TCGA-AA-3514	TCGA-AA-A024	TCGA-AA-3989	TCGA-AA-3833	TCGA-AA-3856	TCGA-AA-3869	TCGA-AA-3678	TCGA-AA-3692	TCGA-AA-A00Z	TCGA-A6-2672	TCGA-AY-4071	TCGA-AG-3609	TCGA-AA-3858	TCGA-AG-3584	TCGA-AA-3519	TCGA-AA-3542	TCGA-AA-3667	TCGA-AA-3666	TCGA-AA-3518	TCGA-AA-3529	TCGA-AY-4070	TCGA-AA-3679	TCGA-AA-3855	TCGA-AA-3562	TCGA-AA-3952	TCGA-AG-4015	TCGA-AG-3612	TCGA-AA-3553	TCGA-AG-3898	TCGA-AA-3972	TCGA-AA-3976	TCGA-AA-3860	TCGA-AG-3890	TCGA-AG-A016	TCGA-AA-3517	TCGA-AA-3956	TCGA-AA-3552	TCGA-AA-3531	TCGA-AG-3608	TCGA-AG-3893	TCGA-AA-A00W	TCGA-A6-2670	TCGA-AG-3598	TCGA-AA-3875	TCGA-AA-A02J	TCGA-AA-A00F	TCGA-AA-3526	TCGA-AA-3685	TCGA-AG-3578	TCGA-AA-3543	TCGA-AA-3812	TCGA-AA-3819	TCGA-AA-3846	TCGA-AA-3872	TCGA-AA-3688	TCGA-AA-A017	TCGA-AA-3538	TCGA-AG-3582	TCGA-AA-3971	TCGA-AG-3574
MAPK1	CNA																											Amplification																																																																																																																																																																								
MAPK3	CNA															Amplification																																																																																																																																																	Amplification																																			
PTEN	CNA								Deep Deletion					Deep Deletion																		Deep Deletion																																																																																Deep Deletion																																																	Deep Deletion																																			
CASP8	CNA																																																																																																																																																																																																			
PTGER2	CNA																																																																																																																																																																																																			
TNFRSF1A	CNA																																																																																																																																																																																																			
BID	CNA																																																																																																																																																																																																			
CHUK	CNA																															Deep Deletion																									Deep Deletion																																																																																																																																											
IKBKB	CNA																	Amplification																																												Amplification							Amplification														Amplification				Amplification																																																														Amplification																																										Amplification					
RAF1	CNA																																																																																																																																																																					Amplification																														
DIABLO	CNA																																																																																																																																																																																																			
FAS	CNA																															Deep Deletion																																																																																																																																	Deep Deletion																																			
NFKBIA	CNA																																																																																																																																																																																																			
NFKBIB	CNA																											Amplification			Amplification																																																												Amplification																																																																																																									
TGFBR2	CNA																															Deep Deletion																																																																																																																																																																				
MAP3K1	CNA																																								Deep Deletion																																																																																																																																																											
CASP9	CNA																																																																																																																																																																																																			
JUN	CNA																																																																																																																																																																																																			
GSK3B	MUTATIONS	Truncating mutation (putative passenger)	Missense Mutation (putative passenger)	Missense Mutation (putative passenger)	Missense Mutation (putative passenger)	Missense Mutation (putative passenger)																																																																																																																																																																																														
SPHK1	MUTATIONS																																																																																																																																																																																																			
SOD1	MUTATIONS																																																																																																																																																																																																			
SOD2	MUTATIONS	Missense Mutation (putative passenger)																															Missense Mutation (putative passenger)																																																																																																																																																																			
CASP3	MUTATIONS			Missense Mutation (putative passenger)																																								Missense Mutation (putative passenger)																																																																																																																																																								
XIAP	MUTATIONS			Missense Mutation (putative passenger)																						Missense Mutation (putative passenger)																																																																																																																																																																										
BIRC3	MUTATIONS			Missense Mutation (putative passenger)	Missense Mutation (putative passenger)																																							Truncating mutation (putative driver)																																																																																																																																																								
BIRC2	MUTATIONS																																											Missense Mutation (putative passenger)	Missense Mutation (putative passenger)									Missense Mutation (putative passenger)																																																																																																																																														
CTNNB1	MUTATIONS							Missense Mutation (putative driver)											Missense Mutation (putative passenger)														Truncating mutation (putative passenger)																							Missense Mutation (putative driver)	Missense Mutation (putative passenger)	Missense Mutation (putative passenger)	Missense Mutation (putative passenger)	Missense Mutation (putative passenger)	Missense Mutation (putative passenger)	Missense Mutation (putative passenger)																																																																																																																																						
CYCS	MUTATIONS																																																																																																																																																																																																			
PPP2CA	MUTATIONS			Truncating mutation (putative passenger)																																																																				Missense Mutation (putative passenger)																																																																																																																												
PPP2CB	MUTATIONS																																											Missense Mutation (putative passenger)																																																																																																																																																								
MAP3K5	MUTATIONS	Missense Mutation (putative passenger)		Missense Mutation (putative passenger)																								Missense Mutation (putative passenger)																Missense Mutation (putative passenger)					Missense Mutation (putative passenger)																																					Missense Mutation (putative passenger)																																																																																																														
MDM2	MUTATIONS			Missense Mutation (putative passenger)																													Missense Mutation (putative passenger)																																																																																																																																																																			
KRAS	MUTATIONS		Missense Mutation (putative driver)						Missense Mutation (putative driver)	Missense Mutation (putative driver)		Missense Mutation (putative driver)	Missense Mutation (putative driver)													Missense Mutation (putative driver)	Missense Mutation (putative driver)				Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)													Missense Mutation (putative driver)	Missense Mutation (putative driver)		Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)						Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Truncating mutation (putative passenger)				Missense Mutation (putative driver)	Missense Mutation (putative driver)						Missense Mutation (putative driver)		Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)				Missense Mutation (putative driver)	Missense Mutation (putative driver)		Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)			Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)																																																												
HRAS	MUTATIONS																																																																																																																																																																																																			
SMAD7	MUTATIONS																																																																																																																																																																																																			
CDKN1A	MUTATIONS																																																																							Missense Mutation (putative passenger)																																																																																																																												
STAT3	MUTATIONS			Missense Mutation (putative passenger)																																																																																																																																					Missense Mutation (putative passenger)																																																											
JAK2	MUTATIONS	Missense Mutation (putative passenger)		Truncating mutation (putative passenger)																		Truncating mutation (putative passenger)											Missense Mutation (putative passenger)											Truncating mutation (putative passenger)																																																																																																																																																								
MAP2K1	MUTATIONS																																											Missense Mutation (putative passenger)																																														Missense Mutation (putative driver)																																																									Missense Mutation (putative driver)																																																	
MAP2K2	MUTATIONS																																																																																																																																																																																																			
FOS	MUTATIONS																																											Missense Mutation (putative passenger)																																																																																																																																																								
AKT1	MUTATIONS		Missense Mutation (putative driver)																																																																					Missense Mutation (putative passenger)																																																																																																																												
AKT2	MUTATIONS	Truncating mutation (putative passenger)	Missense Mutation (putative driver)																																									Missense Mutation (putative passenger)					Missense Mutation (putative passenger)																																																																																																							Missense Mutation (putative passenger)																																												
MAPK8	MUTATIONS																																		Missense Mutation (putative passenger)									Missense Mutation (putative passenger)																Missense Mutation (putative passenger)																										Missense Mutation (putative passenger)																																																																																																														
IL6ST	MUTATIONS		Truncating mutation (putative passenger)																																																									Missense Mutation (putative passenger)																																													Missense Mutation (putative passenger)																																																																																											
CCND1	MUTATIONS																																																																																																																																																																																																			
BAX	MUTATIONS																																																																																																																																																													Missense Mutation (putative passenger)																																						
BCL2	MUTATIONS																																			Missense Mutation (putative passenger)																																																																																																																																																																
NFKB1	MUTATIONS			Missense Mutation (putative passenger)																							Missense Mutation (putative passenger)																	Missense Mutation (putative passenger)																																																																																																																																																								
NFKB2	MUTATIONS			Missense Mutation (putative passenger)																													Missense Mutation (putative passenger)											Missense Mutation (putative passenger)																																																																																																																																																								
RELA	MUTATIONS				Missense Mutation (putative passenger)																																																																																																																																																																																															
TP53	MUTATIONS			Missense Mutation (putative driver)		Missense Mutation (putative driver)		Truncating mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Truncating mutation (putative driver)			Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)				Truncating mutation (putative driver)			Missense Mutation (putative driver)				Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)							Missense Mutation (putative driver)	Truncating mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Truncating mutation (putative driver)						Truncating mutation (putative driver)	Truncating mutation (putative driver)	Missense Mutation (putative driver)				Missense Mutation (putative driver)	Truncating mutation (putative driver)			Missense Mutation (putative driver)	Missense Mutation (putative driver)				Truncating mutation (putative driver)		Truncating mutation (putative driver)		Missense Mutation (putative driver)	Truncating mutation (putative driver)	Truncating mutation (putative driver)		Truncating mutation (putative driver)						Truncating mutation (putative driver)	Truncating mutation (putative driver)	Truncating mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)			Truncating mutation (putative driver)	Truncating mutation (putative driver)	Missense Mutation (putative driver)								Truncating mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)			Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)					Missense Mutation (putative driver)	Truncating mutation (putative driver)	Missense Mutation (putative driver)			Truncating mutation (putative driver)	Truncating mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)																Truncating mutation (putative driver)	Missense Mutation (putative driver)					Missense Mutation (putative driver)	Missense Mutation (putative driver)	Truncating mutation (putative driver)		Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)			Missense Mutation (putative driver)	Missense Mutation (putative driver)		Missense Mutation (putative driver)		Truncating mutation (putative driver)	Truncating mutation (putative driver)	Truncating mutation (putative driver)	Truncating mutation (putative driver)	Truncating mutation (putative driver)	Truncating mutation (putative driver)	Truncating mutation (putative driver)	Truncating mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)											
FADD	MUTATIONS																																																																																																																																																																																																			
SOCS1	MUTATIONS																																																																																																																																																																																																			
PIK3CA	MUTATIONS		Missense Mutation (putative driver)	Missense Mutation (putative passenger)							Missense Mutation (putative driver)																						Missense Mutation (putative driver)		Missense Mutation (putative driver)	Missense Mutation (putative driver)									Missense Mutation (putative driver)		Missense Mutation (putative driver)		Missense Mutation (putative driver)				Missense Mutation (putative driver)				Missense Mutation (putative driver)	Missense Mutation (putative driver)		Missense Mutation (putative driver)				Missense Mutation (putative driver)					Missense Mutation (putative driver)				Missense Mutation (putative driver)				Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)			Missense Mutation (putative driver)				Missense Mutation (putative driver)							Missense Mutation (putative driver)	Missense Mutation (putative driver)						Missense Mutation (putative driver)						Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)					Missense Mutation (putative driver)													Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)																																	Missense Mutation (putative driver)								Missense Mutation (putative driver)		Missense Mutation (putative driver)															Missense Mutation (putative driver)									
PIK3CB	MUTATIONS																																												Missense Mutation (putative passenger)																											Missense Mutation (putative passenger)																																																																																																																												
ATM	MUTATIONS	Missense Mutation (putative passenger)		Truncating mutation (putative driver)																	Missense Mutation (putative passenger)	Missense Mutation (putative passenger)									Missense Mutation (putative driver)		Truncating mutation (putative driver)										Missense Mutation (putative passenger)	Truncating mutation (putative driver)					Truncating mutation (putative driver)		Truncating mutation (putative driver)	Missense Mutation (putative passenger)								Missense Mutation (putative passenger)												Missense Mutation (putative passenger)																		Missense Mutation (putative passenger)		Missense Mutation (putative passenger)			Truncating mutation (putative driver)																																																Truncating mutation (putative driver)												Missense Mutation (putative passenger)			Missense Mutation (putative passenger)										Truncating mutation (putative driver)																				Missense Mutation (putative passenger)								
SMPD1	MUTATIONS		Missense Mutation (putative passenger)	Missense Mutation (putative passenger)																													Missense Mutation (putative passenger)												Missense Mutation (putative passenger)																													Missense Mutation (putative passenger)																					Missense Mutation (putative passenger)																																																																																																					
SMPD2	MUTATIONS																																																																																																																																																																																																			
SMPD4	MUTATIONS																																			Missense Mutation (putative passenger)																																																																																																																																																																
SMAD2	MUTATIONS																								Truncating mutation (putative driver)				Truncating mutation (putative driver)				Missense Mutation (putative passenger)											Missense Mutation (putative driver)					Missense Mutation (putative passenger)								Truncating mutation (putative driver)																Missense Mutation (putative driver)			Missense Mutation (putative driver)												Truncating mutation (putative driver)																														Missense Mutation (putative passenger)																				Truncating mutation (putative driver)																															Missense Mutation (putative driver)						Missense Mutation (putative passenger)																					
SMAD3	MUTATIONS	Missense Mutation (putative passenger)		Missense Mutation (putative passenger)																																								Missense Mutation (putative passenger)								Missense Mutation (putative driver)									Missense Mutation (putative driver)												Truncating mutation (putative driver)																																											Missense Mutation (putative driver)																																																																																
SMAD4	MUTATIONS	Missense Mutation (putative driver)			Truncating mutation (putative driver)			Missense Mutation (putative driver)									Inframe Mutation (putative passenger)						Missense Mutation (putative driver)						Missense Mutation (putative driver)		Missense Mutation (putative driver)															Missense Mutation (putative passenger)																			Missense Mutation (putative driver)		Truncating mutation (putative driver)						Missense Mutation (putative passenger)					Missense Mutation (putative passenger)												Truncating mutation (putative driver)	Missense Mutation (putative driver)	Missense Mutation (putative driver)							Missense Mutation (putative driver)							Missense Mutation (putative driver)	Missense Mutation (putative driver)											Missense Mutation (putative driver)								Missense Mutation (putative driver)																		Missense Mutation (putative driver)										Missense Mutation (putative passenger)																Missense Mutation (putative driver)																										
PTGS2	MUTATIONS	Missense Mutation (putative passenger)																																											Missense Mutation (putative passenger)																																																																																																									Missense Mutation (putative passenger)																																														
CFLAR	MUTATIONS																																											Missense Mutation (putative passenger)					Missense Mutation (putative passenger)																																																																																																																																																			
IL6	MUTATIONS																																											Missense Mutation (putative passenger)																																														Missense Mutation (putative passenger)																																																																																																										
MAPK1	MUTATIONS			Missense Mutation (putative passenger)																																																																							Missense Mutation (putative passenger)																																																																																																																									
MAPK3	MUTATIONS			Missense Mutation (putative passenger)																																																																																																									Truncating mutation (putative passenger)																																																																																							
PTEN	MUTATIONS			Missense Mutation (putative driver)																			Truncating mutation (putative driver)																					Missense Mutation (putative driver)					Truncating mutation (putative driver)											Truncating mutation (putative driver)													Truncating mutation (putative driver)																																	Missense Mutation (putative driver)																																						Truncating mutation (putative driver)																																																				
CASP8	MUTATIONS		Missense Mutation (putative passenger)																															Missense Mutation (putative passenger)											Truncating mutation (putative driver)							Truncating mutation (putative driver)																					Truncating mutation (putative driver)																							Truncating mutation (putative driver)					Missense Mutation (putative passenger)																																																						Missense Mutation (putative driver)																															Missense Mutation (putative passenger)										
