,cell line,condition,io_ratio
98,J82,"['~EGFR', '~PPP2CA', '~RSK']",0.0
99,J82,"['~EGFR', '~PPP2CA', '~TAOK']",0.0
100,J82,"['~EGFR', '~RAS', '~SOS']",0.0
101,J82,"['~EGFR', '~RAS', '~ATF2']",0.0
102,J82,"['~EGFR', '~RAS', '~ATM']",0.0
103,J82,"['~EGFR', '~RAS', '~ELK1']",0.0
104,J82,"['~EGFR', '~RAS', '~FOS']",0.0
105,J82,"['~EGFR', '~RAS', '~FRS2']",0.0
106,J82,"['~EGFR', '~RAS', '~GAB1']",0.0
107,J82,"['~EGFR', '~RAS', '~GRB2']",0.0
108,J82,"['~EGFR', '~RAS', '~JUN']",0.0
109,J82,"['~EGFR', '~RAS', '~PKC']",0.0
110,J82,"['~EGFR', '~RAS', '~RAF']",0.0
111,J82,"['~EGFR', '~RAS', '~RSK']",0.0
112,J82,"['~EGFR', '~RAS', '~TAOK']",0.0
113,J82,"['~EGFR', '~SOS', '~ATF2']",0.0
114,J82,"['~EGFR', '~SOS', '~ATM']",0.0
115,J82,"['~EGFR', '~SOS', '~ELK1']",0.0
116,J82,"['~EGFR', '~SOS', '~FOS']",0.0
117,J82,"['~EGFR', '~SOS', '~FRS2']",0.0
118,J82,"['~EGFR', '~SOS', '~GAB1']",0.0
119,J82,"['~EGFR', '~SOS', '~GRB2']",0.0
120,J82,"['~EGFR', '~SOS', '~JUN']",0.0
121,J82,"['~EGFR', '~SOS', '~PKC']",0.0
122,J82,"['~EGFR', '~SOS', '~RAF']",0.0
123,J82,"['~EGFR', '~SOS', '~RSK']",0.0
124,J82,"['~EGFR', '~SOS', '~TAOK']",0.0
125,J82,"['~EGFR', '~ATF2', '~ATM']",0.0
126,J82,"['~EGFR', '~ATF2', '~ELK1']",0.0
127,J82,"['~EGFR', '~ATF2', '~FOS']",0.0
128,J82,"['~EGFR', '~ATF2', '~FRS2']",0.0
129,J82,"['~EGFR', '~ATF2', '~GAB1']",0.0
130,J82,"['~EGFR', '~ATF2', '~GRB2']",0.0
131,J82,"['~EGFR', '~ATF2', '~JUN']",0.0
132,J82,"['~EGFR', '~ATF2', '~PKC']",0.0
133,J82,"['~EGFR', '~ATF2', '~RAF']",0.0
134,J82,"['~EGFR', '~ATF2', '~RSK']",0.0
135,J82,"['~EGFR', '~ATF2', '~TAOK']",0.0
136,J82,"['~EGFR', '~ATM', '~ELK1']",0.0
137,J82,"['~EGFR', '~ATM', '~FOS']",0.0
138,J82,"['~EGFR', '~ATM', '~FRS2']",0.0
139,J82,"['~EGFR', '~ATM', '~GAB1']",0.0
140,J82,"['~EGFR', '~ATM', '~GRB2']",0.0
141,J82,"['~EGFR', '~ATM', '~JUN']",0.0
142,J82,"['~EGFR', '~ATM', '~PKC']",0.0
143,J82,"['~EGFR', '~ATM', '~RAF']",0.0
144,J82,"['~EGFR', '~ATM', '~RSK']",0.0
145,J82,"['~EGFR', '~ATM', '~TAOK']",0.0
146,J82,"['~EGFR', '~ELK1', '~FOS']",0.0
147,J82,"['~EGFR', '~ELK1', '~FRS2']",0.0
148,J82,"['~EGFR', '~ELK1', '~GAB1']",0.0
149,J82,"['~EGFR', '~ELK1', '~GRB2']",0.0
150,J82,"['~EGFR', '~ELK1', '~JUN']",0.0
151,J82,"['~EGFR', '~ELK1', '~PKC']",0.0
152,J82,"['~EGFR', '~ELK1', '~RAF']",0.0
153,J82,"['~EGFR', '~ELK1', '~RSK']",0.0
154,J82,"['~EGFR', '~ELK1', '~TAOK']",0.0
155,J82,"['~EGFR', '~FOS', '~FRS2']",0.0
156,J82,"['~EGFR', '~FOS', '~GAB1']",0.0
157,J82,"['~EGFR', '~FOS', '~GRB2']",0.0
158,J82,"['~EGFR', '~FOS', '~JUN']",0.0
159,J82,"['~EGFR', '~FOS', '~PKC']",0.0
160,J82,"['~EGFR', '~FOS', '~RAF']",0.0
161,J82,"['~EGFR', '~FOS', '~RSK']",0.0
162,J82,"['~EGFR', '~FOS', '~TAOK']",0.0
163,J82,"['~EGFR', '~FRS2', '~GAB1']",0.0
164,J82,"['~EGFR', '~FRS2', '~GRB2']",0.0
165,J82,"['~EGFR', '~FRS2', '~JUN']",0.0
166,J82,"['~EGFR', '~FRS2', '~PKC']",0.0
167,J82,"['~EGFR', '~FRS2', '~RAF']",0.0
168,J82,"['~EGFR', '~FRS2', '~RSK']",0.0
169,J82,"['~EGFR', '~FRS2', '~TAOK']",0.0
170,J82,"['~EGFR', '~GAB1', '~GRB2']",0.0
171,J82,"['~EGFR', '~GAB1', '~JUN']",0.0
172,J82,"['~EGFR', '~GAB1', '~PKC']",0.0
173,J82,"['~EGFR', '~GAB1', '~RAF']",0.0
174,J82,"['~EGFR', '~GAB1', '~RSK']",0.0
175,J82,"['~EGFR', '~GAB1', '~TAOK']",0.0
176,J82,"['~EGFR', '~GRB2', '~JUN']",0.0
177,J82,"['~EGFR', '~GRB2', '~PKC']",0.0
178,J82,"['~EGFR', '~GRB2', '~RAF']",0.0
179,J82,"['~EGFR', '~GRB2', '~RSK']",0.0
180,J82,"['~EGFR', '~GRB2', '~TAOK']",0.0
181,J82,"['~EGFR', '~JUN', '~PKC']",0.0
182,J82,"['~EGFR', '~JUN', '~RAF']",0.0
183,J82,"['~EGFR', '~JUN', '~RSK']",0.0
184,J82,"['~EGFR', '~JUN', '~TAOK']",0.0
185,J82,"['~EGFR', '~PKC', '~RAF']",0.0
186,J82,"['~EGFR', '~PKC', '~RSK']",0.0
187,J82,"['~EGFR', '~PKC', '~TAOK']",0.0
188,J82,"['~EGFR', '~RAF', '~RSK']",0.0
189,J82,"['~EGFR', '~RAF', '~TAOK']",0.0
190,J82,"['~EGFR', '~RSK', '~TAOK']",0.0
191,J82,"['~ERK', '~AKT', '~BCL2']",0.0
192,J82,"['~ERK', '~AKT', '~FGFR3']",0.0
193,J82,"['~ERK', '~AKT', '~MAP3K1_3']",0.0
194,J82,"['~ERK', '~AKT', '~PLCG']",0.0
195,J82,"['~ERK', '~AKT', '~PPP2CA']",0.0
196,J82,"['~ERK', '~AKT', '~RAS']",0.0
197,J82,"['~ERK', '~AKT', '~SOS']",0.0
198,J82,"['~ERK', '~AKT', '~ATF2']",0.0
199,J82,"['~ERK', '~AKT', '~ATM']",0.0
200,J82,"['~ERK', '~AKT', '~ELK1']",0.0
201,J82,"['~ERK', '~AKT', '~FOS']",0.0
202,J82,"['~ERK', '~AKT', '~FRS2']",0.0
203,J82,"['~ERK', '~AKT', '~GAB1']",0.0
204,J82,"['~ERK', '~AKT', '~GRB2']",0.0
205,J82,"['~ERK', '~AKT', '~JUN']",0.0
