,model,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,empty_io_ratio,deterministic_io_ratio,redundancy,num_input,num_output,num_wccs,norm_num_wccs,len_largest_wcc,norm_len_largest_wcc,type,avg_len_wcc,reversibility
204,bt474_short,10,16,34,8,4,0,4,0.625,0.6309814453125,0.75,0.125,10.0,5.0,2.0,15,0.4411764705882353,11,0.6875,random,,0.75
205,bt474_short,98,16,31,6,5,0,5,0.5625,0.6875,0.0,0.75,4.266666666666667,5.0,2.0,16,0.4705882352941176,14,0.875,random,,0.6875
208,bt474_short,97,16,34,7,7,0,2,0.6875,0.6875,0.0,1.0,8.777777777777779,5.0,2.0,11,0.34375,21,1.3125,random,,0.875
209,bt474_short,80,16,32,10,2,0,4,0.90625,0.6519775390625,0.5,0.25,11.2,5.0,2.0,15,0.4411764705882353,10,0.625,random,,0.75
210,bt474_short,63,16,31,4,6,0,6,0.765625,0.68304443359375,0.0,0.8125,3.1384615384615384,5.0,2.0,14,0.4375,10,0.625,random,,0.625
211,bt474_short,11,16,31,6,5,0,5,0.59375,0.64886474609375,0.0,0.9375,5.745762711864407,5.0,2.0,10,0.3125,12,0.75,random,,0.6875
212,bt474_short,96,16,33,3,4,0,9,0.5625,0.60498046875,0.0,0.875,2.548387096774193,5.0,2.0,15,0.46875,5,0.3125,random,,0.4375
213,bt474_short,79,16,30,11,2,0,3,0.90625,0.6875,0.5,0.25,6.75,5.0,2.0,14,0.4117647058823529,9,0.5625,random,,0.8125
214,bt474_short,62,16,33,13,1,0,2,0.65625,0.63555908203125,0.0,0.5,4.4,5.0,2.0,14,0.4117647058823529,11,0.6875,random,,0.875
215,bt474_short,95,16,30,7,5,0,4,0.6875,0.6875,0.5,0.5,7.0,5.0,2.0,15,0.4411764705882353,7,0.4375,random,,0.75
216,bt474_short,78,16,30,6,3,0,7,0.6875,0.67352294921875,0.0,0.96875,2.4838709677419355,5.0,2.0,11,0.34375,13,0.8125,random,,0.5625
217,bt474_short,61,16,32,1,6,0,9,0.5,0.654296875,0.09375,0.84375,4.881481481481481,5.0,2.0,13,0.40625,20,1.25,random,,0.4375
218,bt474_short,94,16,32,2,6,0,8,0.4737723214285714,0.671142578125,0.4375,0.40625,4.6,5.0,2.0,15,0.46875,7,0.4375,random,,0.5
219,bt474_short,7,16,33,10,5,0,1,0.625,0.63397216796875,0.0,0.5,3.6,5.0,2.0,21,0.6176470588235294,9,0.5625,random,,0.9375
220,bt474_short,77,16,34,7,6,0,3,0.8125,0.6712646484375,0.0,0.5,4.0,5.0,2.0,15,0.4411764705882353,16,1.0,random,,0.8125
