,network,node,mut,robustness
0,bortezomib,0,oe,0.5069582504970179
1,bortezomib,0,ko,0.49304174950298213
2,bortezomib,1,oe,0.7932405566600398
3,bortezomib,1,ko,0.20675944333996024
4,bortezomib,2,oe,0.8775313404050145
5,bortezomib,2,ko,1.0
6,bortezomib,3,oe,0.4685222001325381
7,bortezomib,3,ko,0.5314777998674619
8,bortezomib,4,oe,0.8423423423423423
9,bortezomib,4,ko,0.8522522522522522
10,bortezomib,63,oe,0.23061630218687873
11,bortezomib,63,ko,0.3286944996686547
12,bortezomib,5,oe,0.4685222001325381
13,bortezomib,5,ko,0.5314777998674619
14,bortezomib,23,oe,0.0020161290322580645
15,bortezomib,23,ko,0.34475806451612906
16,bortezomib,6,oe,0.4738237243207422
17,bortezomib,6,ko,0.26971504307488403
18,bortezomib,7,oe,0.36779324055666
19,bortezomib,7,ko,0.873426110006627
20,bortezomib,42,oe,0.8177601060304838
21,bortezomib,42,ko,0.29953611663353213
22,bortezomib,35,oe,0.4208084824387011
23,bortezomib,35,ko,0.0013253810470510272
24,bortezomib,8,oe,0.3797216699801193
25,bortezomib,8,ko,0.01126573889993373
26,bortezomib,21,oe,0.37309476474486414
27,bortezomib,21,ko,0.023194168323392977
28,bortezomib,9,oe,0.19350563286944997
29,bortezomib,9,ko,0.802518223989397
30,bortezomib,28,oe,0.0027416038382453737
31,bortezomib,28,ko,0.5017135023989033
32,bortezomib,27,oe,0.0
33,bortezomib,27,ko,0.614314115308151
34,bortezomib,34,oe,0.48641484426772696
35,bortezomib,34,ko,0.0019880715705765406
36,bortezomib,10,oe,0.9158383035122598
37,bortezomib,10,ko,0.9688535453943009
38,bortezomib,47,oe,0.0
39,bortezomib,47,ko,0.6925115970841617
40,bortezomib,11,oe,0.10404241219350563
41,bortezomib,11,ko,0.8767395626242545
42,bortezomib,12,oe,0.4943671305500331
43,bortezomib,12,ko,0.0033134526176275677
44,bortezomib,24,oe,0.9848594087959625
45,bortezomib,24,ko,0.2617159336697909
46,bortezomib,13,oe,0.536779324055666
47,bortezomib,13,ko,0.013253810470510271
48,bortezomib,22,oe,0.0
49,bortezomib,22,ko,0.9887342611000662
50,bortezomib,51,oe,0.34420772303595204
51,bortezomib,51,ko,0.3175765645805593
52,bortezomib,52,oe,0.3055003313452618
53,bortezomib,52,ko,0.6925115970841617
54,bortezomib,36,oe,0.30417495029821073
55,bortezomib,36,ko,0.562624254473161
56,bortezomib,14,oe,0.3744201457919152
57,bortezomib,14,ko,0.0013253810470510272
58,bortezomib,31,oe,0.30417495029821073
59,bortezomib,31,ko,0.6925115970841617
60,bortezomib,29,oe,0.3074884029158383
61,bortezomib,29,ko,0.48641484426772696
62,bortezomib,15,oe,0.8727634194831014
63,bortezomib,15,ko,0.3320079522862823
64,bortezomib,16,oe,0.9993373094764745
65,bortezomib,16,ko,0.8926441351888668
66,bortezomib,17,oe,0.02982107355864811
67,bortezomib,17,ko,0.781974817760106
68,bortezomib,18,oe,0.48641484426772696
69,bortezomib,18,ko,0.3167660702451955
70,bortezomib,54,oe,0.0
71,bortezomib,54,ko,0.609012591119947
72,bortezomib,19,oe,0.9887342611000662
73,bortezomib,19,ko,0.5314777998674619
74,bortezomib,39,oe,0.5970841616964877
75,bortezomib,39,ko,0.610337972166998
76,bortezomib,20,oe,0.03578528827037773
77,bortezomib,20,ko,0.06494367130550033
78,bortezomib,44,oe,0.20107238605898123
