,model,network_idx,num_wccs,norm_num_wccs,len_largest_wcc,norm_len_largest_wcc
0,bortezomib,7,28,0.20588235294117646,67,1.0
1,bortezomib,4,23,0.16911764705882354,103,1.537313432835821
2,bortezomib,3,25,0.18382352941176472,91,1.3582089552238805
3,bortezomib,1,26,0.19117647058823528,103,1.537313432835821
4,bortezomib,5,29,0.21323529411764705,99,1.4776119402985075
5,bortezomib,2,26,0.19117647058823528,75,1.1194029850746268
6,bortezomib,0,26,0.19117647058823528,101,1.507462686567164
7,bortezomib,9,27,0.19852941176470587,83,1.2388059701492538
8,bortezomib,6,24,0.17647058823529413,99,1.4776119402985075
9,bortezomib,8,27,0.19852941176470587,83,1.2388059701492538
10,apoptosis,6,17,0.20238095238095238,64,1.5609756097560976
11,apoptosis,8,12,0.14285714285714285,69,1.6829268292682926
12,apoptosis,4,13,0.15476190476190477,55,1.3414634146341464
13,apoptosis,0,10,0.11904761904761904,68,1.6585365853658536
14,apoptosis,1,14,0.16666666666666666,64,1.5609756097560976
15,apoptosis,7,13,0.15476190476190477,58,1.4146341463414633
16,apoptosis,3,16,0.19047619047619047,59,1.4390243902439024
17,apoptosis,9,14,0.16666666666666666,66,1.6097560975609757
18,apoptosis,5,14,0.16666666666666666,65,1.5853658536585367
19,apoptosis,2,19,0.2261904761904762,50,1.2195121951219512
20,bt474_short,6,15,0.4411764705882353,18,1.125
21,bt474_short,1,14,0.4117647058823529,10,0.625
22,bt474_short,2,15,0.4411764705882353,15,0.9375
23,bt474_short,7,21,0.6176470588235294,9,0.5625
24,bt474_short,9,17,0.5,12,0.75
25,bt474_short,3,12,0.375,16,1.0
26,bt474_short,8,13,0.38235294117647056,20,1.25
27,bt474_short,4,16,0.47058823529411764,5,0.3125
28,bt474_short,5,15,0.4411764705882353,10,0.625
29,bt474_short,0,16,0.47058823529411764,6,0.375
30,colitis,3,25,0.176056338028169,108,1.542857142857143
31,colitis,2,23,0.1619718309859155,105,1.5
32,colitis,5,21,0.14788732394366197,105,1.5
33,colitis,8,26,0.18309859154929578,108,1.542857142857143
34,colitis,4,27,0.19014084507042253,112,1.6
35,colitis,7,26,0.18309859154929578,98,1.4
36,colitis,1,25,0.176056338028169,109,1.5571428571428572
37,colitis,6,23,0.1619718309859155,111,1.5857142857142856
38,colitis,9,27,0.19014084507042253,105,1.5
39,colitis,0,30,0.2112676056338028,106,1.5142857142857142
40,death,7,11,0.1896551724137931,22,0.7857142857142857
41,death,9,9,0.15517241379310345,45,1.6071428571428572
42,death,1,10,0.1724137931034483,45,1.6071428571428572
43,death,5,13,0.22413793103448276,33,1.1785714285714286
44,death,8,13,0.22413793103448276,30,1.0714285714285714
