,model,network_idx,num_wccs,norm_num_wccs,len_largest_wcc,norm_len_largest_wcc
0,bortezomib,99,27,0.19852941176470587,39,0.582089552238806
1,bortezomib,74,25,0.18382352941176472,93,1.3880597014925373
2,bortezomib,33,32,0.23529411764705882,88,1.3134328358208955
3,bortezomib,5,29,0.21323529411764705,99,1.4776119402985075
4,bortezomib,94,26,0.19117647058823528,103,1.537313432835821
5,bortezomib,86,27,0.19852941176470587,99,1.4776119402985075
6,bortezomib,92,21,0.15441176470588236,102,1.5223880597014925
7,bortezomib,54,26,0.19117647058823528,97,1.4477611940298507
8,bortezomib,85,26,0.19117647058823528,76,1.1343283582089552
9,bortezomib,73,24,0.17647058823529413,97,1.4477611940298507
10,bortezomib,26,28,0.20588235294117646,88,1.3134328358208955
11,bortezomib,28,28,0.20588235294117646,94,1.4029850746268657
12,bortezomib,36,27,0.19852941176470587,97,1.4477611940298507
13,bortezomib,77,25,0.18382352941176472,97,1.4477611940298507
14,bortezomib,95,24,0.17647058823529413,100,1.492537313432836
15,bortezomib,32,30,0.22058823529411764,79,1.1791044776119404
16,bortezomib,69,26,0.19117647058823528,100,1.492537313432836
17,bortezomib,48,27,0.19852941176470587,95,1.4179104477611941
18,bortezomib,29,28,0.20588235294117646,96,1.4328358208955223
19,bortezomib,31,28,0.20588235294117646,93,1.3880597014925373
20,bortezomib,96,26,0.19117647058823528,94,1.4029850746268657
21,bortezomib,70,26,0.19117647058823528,103,1.537313432835821
22,bortezomib,35,28,0.20588235294117646,92,1.373134328358209
23,bortezomib,97,24,0.17647058823529413,104,1.5522388059701493
24,bortezomib,50,27,0.19852941176470587,97,1.4477611940298507
25,bortezomib,93,31,0.22794117647058823,56,0.835820895522388
26,bortezomib,71,27,0.19852941176470587,92,1.373134328358209
27,bortezomib,49,23,0.16911764705882354,49,0.7313432835820896
28,bortezomib,3,25,0.18382352941176472,91,1.3582089552238805
29,bortezomib,60,28,0.20588235294117646,87,1.2985074626865671
30,bortezomib,72,25,0.18382352941176472,105,1.5671641791044777
31,bortezomib,62,29,0.21323529411764705,94,1.4029850746268657
32,bortezomib,76,27,0.19852941176470587,100,1.492537313432836
33,bortezomib,37,27,0.19852941176470587,100,1.492537313432836
34,bortezomib,59,28,0.20588235294117646,89,1.328358208955224
35,bortezomib,57,27,0.19852941176470587,93,1.3880597014925373
36,bortezomib,46,27,0.19852941176470587,91,1.3582089552238805
37,bortezomib,44,23,0.16911764705882354,103,1.537313432835821
38,bortezomib,53,23,0.16911764705882354,103,1.537313432835821
39,bortezomib,27,26,0.19117647058823528,102,1.5223880597014925
40,bortezomib,38,26,0.19117647058823528,97,1.4477611940298507
41,bortezomib,34,30,0.22058823529411764,78,1.164179104477612
42,bortezomib,98,28,0.20588235294117646,79,1.1791044776119404
43,bortezomib,81,27,0.19852941176470587,101,1.507462686567164
44,bortezomib,82,22,0.16176470588235295,103,1.537313432835821
45,bortezomib,45,28,0.20588235294117646,53,0.7910447761194029
46,bortezomib,51,27,0.19852941176470587,93,1.3880597014925373
47,bortezomib,41,29,0.21323529411764705,68,1.0149253731343284
48,bortezomib,30,29,0.21323529411764705,79,1.1791044776119404
49,bortezomib,89,27,0.19852941176470587,96,1.4328358208955223
50,bortezomib,52,25,0.18382352941176472,95,1.4179104477611941
51,bortezomib,7,28,0.20588235294117646,67,1.0
52,bortezomib,88,28,0.20588235294117646,91,1.3582089552238805
53,bortezomib,23,31,0.22794117647058823,97,1.4477611940298507
54,bortezomib,55,24,0.17647058823529413,103,1.537313432835821
55,bortezomib,8,27,0.19852941176470587,83,1.2388059701492538
56,bortezomib,78,27,0.19852941176470587,106,1.5820895522388059
57,bortezomib,14,27,0.19852941176470587,60,0.8955223880597015
58,bortezomib,22,29,0.21323529411764705,101,1.507462686567164
59,bortezomib,61,30,0.22058823529411764,97,1.4477611940298507
60,bortezomib,25,22,0.16176470588235295,104,1.5522388059701493
61,bortezomib,90,31,0.22794117647058823,93,1.3880597014925373
62,bortezomib,4,23,0.16911764705882354,103,1.537313432835821
63,bortezomib,47,29,0.21323529411764705,65,0.9701492537313433
64,bortezomib,21,28,0.20588235294117646,94,1.4029850746268657
65,bortezomib,6,24,0.17647058823529413,99,1.4776119402985075
66,bortezomib,15,23,0.16911764705882354,108,1.6119402985074627
67,bortezomib,2,26,0.19117647058823528,75,1.1194029850746268
68,bortezomib,24,25,0.18382352941176472,57,0.8507462686567164
69,bortezomib,1,26,0.19117647058823528,103,1.537313432835821
70,bortezomib,80,28,0.20588235294117646,90,1.3432835820895523
71,bortezomib,39,25,0.18382352941176472,86,1.2835820895522387
72,bortezomib,9,27,0.19852941176470587,83,1.2388059701492538
73,bortezomib,40,23,0.16911764705882354,100,1.492537313432836
74,bortezomib,18,29,0.21323529411764705,103,1.537313432835821
75,bortezomib,56,25,0.18382352941176472,92,1.373134328358209
76,bortezomib,42,24,0.17647058823529413,106,1.5820895522388059
77,bortezomib,20,26,0.19117647058823528,97,1.4477611940298507
78,bortezomib,17,32,0.23529411764705882,88,1.3134328358208955
79,bortezomib,65,26,0.19117647058823528,96,1.4328358208955223
80,bortezomib,43,28,0.20588235294117646,96,1.4328358208955223
81,bortezomib,58,25,0.18382352941176472,104,1.5522388059701493
82,bortezomib,75,28,0.20588235294117646,99,1.4776119402985075
83,bortezomib,83,24,0.17647058823529413,100,1.492537313432836
84,bortezomib,11,24,0.17647058823529413,90,1.3432835820895523
85,bortezomib,87,27,0.19852941176470587,94,1.4029850746268657
86,bortezomib,79,26,0.19117647058823528,100,1.492537313432836
