,network,node,mut,robustness
0,bortezomib,0,oe,0.42105263157894735
1,bortezomib,0,ko,0.5789473684210527
2,bortezomib,1,oe,0.47368421052631576
3,bortezomib,1,ko,0.5263157894736842
4,bortezomib,2,oe,0.65625
5,bortezomib,2,ko,0.625
6,bortezomib,3,oe,0.5
7,bortezomib,3,ko,0.5
8,bortezomib,4,oe,0.7692307692307693
9,bortezomib,4,ko,0.8076923076923077
10,bortezomib,63,oe,0.5
11,bortezomib,63,ko,0.5
12,bortezomib,5,oe,0.5
13,bortezomib,5,ko,0.5
14,bortezomib,23,oe,0.8421052631578947
15,bortezomib,23,ko,0.15789473684210525
16,bortezomib,6,oe,0.42105263157894735
17,bortezomib,6,ko,0.8421052631578947
18,bortezomib,7,oe,0.9473684210526315
19,bortezomib,7,ko,0.8947368421052632
20,bortezomib,42,oe,1.0
21,bortezomib,42,ko,0.8421052631578947
22,bortezomib,35,oe,0.5526315789473685
23,bortezomib,35,ko,0.42105263157894735
24,bortezomib,8,oe,0.5526315789473685
25,bortezomib,8,ko,0.42105263157894735
26,bortezomib,28,oe,0.02631578947368421
27,bortezomib,28,ko,0.9473684210526315
28,bortezomib,9,oe,0.5789473684210527
29,bortezomib,9,ko,0.42105263157894735
30,bortezomib,21,oe,0.5263157894736842
31,bortezomib,21,ko,0.9473684210526315
32,bortezomib,27,oe,0.5789473684210527
33,bortezomib,27,ko,0.42105263157894735
34,bortezomib,34,oe,0.34210526315789475
35,bortezomib,34,ko,0.631578947368421
36,bortezomib,10,oe,0.7105263157894737
37,bortezomib,10,ko,0.7894736842105263
38,bortezomib,47,oe,0.8421052631578947
39,bortezomib,47,ko,0.5789473684210527
40,bortezomib,11,oe,0.8421052631578947
41,bortezomib,11,ko,0.15789473684210525
42,bortezomib,12,oe,0.5263157894736842
43,bortezomib,12,ko,0.42105263157894735
44,bortezomib,24,oe,0.42105263157894735
45,bortezomib,24,ko,1.0
46,bortezomib,13,oe,0.10526315789473684
47,bortezomib,13,ko,0.868421052631579
48,bortezomib,22,oe,0.7105263157894737
49,bortezomib,22,ko,0.2631578947368421
50,bortezomib,51,oe,0.8421052631578947
51,bortezomib,51,ko,0.868421052631579
52,bortezomib,52,oe,0.8421052631578947
53,bortezomib,52,ko,0.13157894736842105
54,bortezomib,36,oe,0.02631578947368421
55,bortezomib,36,ko,1.0
56,bortezomib,14,oe,0.8421052631578947
57,bortezomib,14,ko,0.02631578947368421
58,bortezomib,31,oe,0.02631578947368421
59,bortezomib,31,ko,1.0
60,bortezomib,29,oe,0.868421052631579
61,bortezomib,29,ko,0.868421052631579
62,bortezomib,15,oe,0.9736842105263158
63,bortezomib,15,ko,0.9736842105263158
64,bortezomib,16,oe,0.7368421052631579
65,bortezomib,16,ko,0.42105263157894735
66,bortezomib,17,oe,0.5526315789473685
67,bortezomib,17,ko,0.42105263157894735
68,bortezomib,18,oe,0.9736842105263158
69,bortezomib,18,ko,0.868421052631579
70,bortezomib,54,oe,0.8421052631578947
71,bortezomib,54,ko,0.02631578947368421
72,bortezomib,19,oe,0.9210526315789473
73,bortezomib,19,ko,0.15789473684210525
74,bortezomib,39,oe,1.0
75,bortezomib,39,ko,0.5789473684210527
76,bortezomib,20,oe,0.42105263157894735
77,bortezomib,20,ko,0.5789473684210527
78,bortezomib,44,oe,0.5789473684210527
79,bortezomib,44,ko,0.42105263157894735
80,bortezomib,55,oe,0.8421052631578947
81,bortezomib,55,ko,0.42105263157894735
82,bortezomib,66,oe,0.8421052631578947
83,bortezomib,66,ko,1.0
84,bortezomib,62,oe,1.0
85,bortezomib,62,ko,0.8947368421052632
86,bortezomib,49,oe,1.0
87,bortezomib,49,ko,0.8947368421052632
88,bortezomib,57,oe,0.5789473684210527
89,bortezomib,57,ko,0.42105263157894735
90,bortezomib,25,oe,1.0
91,bortezomib,25,ko,1.0
92,bortezomib,26,oe,0.5789473684210527
93,bortezomib,26,ko,0.42105263157894735
94,bortezomib,46,oe,0.42105263157894735
95,bortezomib,46,ko,1.0
96,bortezomib,64,oe,0.42105263157894735
97,bortezomib,64,ko,1.0
98,bortezomib,56,oe,0.5789473684210527
99,bortezomib,56,ko,0.9736842105263158
100,bortezomib,61,oe,0.02631578947368421
101,bortezomib,61,ko,0.9473684210526315
102,bortezomib,30,oe,0.8421052631578947
103,bortezomib,30,ko,0.15789473684210525
104,bortezomib,45,oe,0.8421052631578947
105,bortezomib,45,ko,0.34210526315789475
106,bortezomib,32,oe,0.8421052631578947
107,bortezomib,32,ko,0.15789473684210525
108,bortezomib,40,oe,1.0
109,bortezomib,40,ko,0.42105263157894735
110,bortezomib,33,oe,1.0
111,bortezomib,33,ko,1.0
112,bortezomib,41,oe,0.8421052631578947
113,bortezomib,41,ko,0.6578947368421053
114,bortezomib,43,oe,0.7894736842105263
115,bortezomib,43,ko,0.6578947368421053
116,bortezomib,37,oe,1.0
117,bortezomib,37,ko,1.0
118,bortezomib,38,oe,0.8421052631578947
119,bortezomib,38,ko,1.0
120,bortezomib,48,oe,0.8421052631578947
121,bortezomib,48,ko,0.15789473684210525
122,bortezomib,60,oe,0.8421052631578947
123,bortezomib,60,ko,0.5789473684210527
124,bortezomib,50,oe,0.34210526315789475
125,bortezomib,50,ko,1.0
126,bortezomib,65,oe,0.8421052631578947
127,bortezomib,65,ko,0.15789473684210525
128,bortezomib,53,oe,0.8421052631578947
129,bortezomib,53,ko,0.5526315789473685
130,bortezomib,59,oe,1.0
131,bortezomib,59,ko,0.42105263157894735
132,bortezomib,58,oe,1.0
133,bortezomib,58,ko,1.0
134,apoptosis,0,oe,0.5542857142857143
135,apoptosis,0,ko,0.44571428571428573
136,apoptosis,1,oe,0.7771428571428571
137,apoptosis,1,ko,0.22285714285714286
138,apoptosis,24,oe,0.16071428571428573
139,apoptosis,24,ko,0.49404761904761907
140,apoptosis,2,oe,0.1048951048951049
141,apoptosis,2,ko,0.5104895104895105
142,apoptosis,27,oe,0.9428571428571428
143,apoptosis,27,ko,0.38857142857142857
144,apoptosis,40,oe,0.40963855421686746
145,apoptosis,40,ko,0.18674698795180722
146,apoptosis,4,oe,0.20454545454545456
147,apoptosis,4,ko,0.09848484848484848
148,apoptosis,3,oe,0.02097902097902098
149,apoptosis,3,ko,0.15384615384615385
150,apoptosis,8,oe,0.0
151,apoptosis,8,ko,0.2411764705882353
152,apoptosis,5,oe,0.4342857142857143
153,apoptosis,5,ko,0.5771428571428572
154,apoptosis,7,oe,0.6971428571428572
155,apoptosis,7,ko,0.28
156,apoptosis,6,oe,0.7028571428571428
157,apoptosis,6,ko,0.29714285714285715
158,apoptosis,23,oe,0.25142857142857145
159,apoptosis,23,ko,0.88
160,apoptosis,15,oe,0.13142857142857142
161,apoptosis,15,ko,0.6685714285714286
162,apoptosis,36,oe,0.13142857142857142
163,apoptosis,36,ko,0.9485714285714286
164,apoptosis,19,oe,0.6914285714285714
165,apoptosis,19,ko,0.28
166,apoptosis,30,oe,0.15428571428571428
167,apoptosis,30,ko,0.08571428571428572
168,apoptosis,9,oe,0.8742857142857143
169,apoptosis,9,ko,0.5885714285714285
170,apoptosis,10,oe,0.44
171,apoptosis,10,ko,0.4342857142857143
172,apoptosis,38,oe,0.8571428571428571
173,apoptosis,38,ko,0.36
174,apoptosis,13,oe,0.7314285714285714
175,apoptosis,13,ko,0.8285714285714286
176,apoptosis,11,oe,0.9257142857142857
177,apoptosis,11,ko,0.92
178,apoptosis,12,oe,0.8514285714285714
179,apoptosis,12,ko,0.92
180,apoptosis,37,oe,0.13142857142857142
181,apoptosis,37,ko,0.6971428571428572
182,apoptosis,14,oe,0.9942857142857143
183,apoptosis,14,ko,0.9942857142857143
184,apoptosis,28,oe,0.7371428571428571
185,apoptosis,28,ko,0.2057142857142857
186,apoptosis,33,oe,0.9257142857142857
187,apoptosis,33,ko,0.9828571428571429
188,apoptosis,17,oe,1.0
189,apoptosis,17,ko,0.4342857142857143
190,apoptosis,16,oe,0.16184971098265896
191,apoptosis,16,ko,0.4393063583815029
192,apoptosis,39,oe,1.0
193,apoptosis,39,ko,0.4342857142857143
194,apoptosis,22,oe,0.5542857142857143
195,apoptosis,22,ko,0.44571428571428573
196,apoptosis,18,oe,0.2571428571428571
197,apoptosis,18,ko,0.9257142857142857
198,apoptosis,34,oe,0.5714285714285714
199,apoptosis,34,ko,0.5828571428571429
200,apoptosis,20,oe,0.5485714285714286
201,apoptosis,20,ko,0.84
202,apoptosis,35,oe,0.37714285714285717
203,apoptosis,35,ko,0.7085714285714285
204,apoptosis,29,oe,0.7657142857142857
205,apoptosis,29,ko,0.21142857142857144
206,apoptosis,21,oe,0.76
207,apoptosis,21,ko,0.22285714285714286
208,apoptosis,32,oe,0.7771428571428571
209,apoptosis,32,ko,0.9771428571428571
210,apoptosis,25,oe,0.7771428571428571
211,apoptosis,25,ko,0.21714285714285714
212,apoptosis,26,oe,0.6742857142857143
213,apoptosis,26,ko,0.21142857142857144
214,apoptosis,31,oe,0.7771428571428571
215,apoptosis,31,ko,0.22285714285714286
216,bt474_long,0,oe,0.882179675994109
217,bt474_long,0,ko,0.6701030927835051
218,bt474_long,1,oe,0.9571917808219178
219,bt474_long,1,ko,0.9863013698630136
220,bt474_long,2,oe,0.883248730964467
221,bt474_long,2,ko,1.0
222,bt474_long,3,oe,0.882179675994109
223,bt474_long,3,ko,0.6818851251840943
224,bt474_long,4,oe,0.2672209026128266
225,bt474_long,4,ko,0.995249406175772
226,bt474_long,15,oe,0.7264150943396226
227,bt474_long,15,ko,1.0
228,bt474_long,13,oe,0.9609261939218524
229,bt474_long,13,ko,0.9913169319826338
230,bt474_long,9,oe,1.0
231,bt474_long,9,ko,0.02240566037735849
232,bt474_long,5,oe,0.7488207547169812
233,bt474_long,5,ko,1.0
234,bt474_long,8,oe,0.9215425531914894
235,bt474_long,8,ko,0.6954787234042553
236,bt474_long,6,oe,0.3497942386831276
237,bt474_long,6,ko,0.9725651577503429
238,bt474_long,21,oe,0.17149758454106281
239,bt474_long,21,ko,1.0
240,bt474_long,11,oe,0.1774580335731415
241,bt474_long,11,ko,1.0
242,bt474_long,23,oe,0.3584905660377358
243,bt474_long,23,ko,0.9787735849056604
244,bt474_long,7,oe,0.9986754966887417
245,bt474_long,7,ko,1.0
246,bt474_long,16,oe,0.5380894800483675
247,bt474_long,16,ko,0.6021765417170496
248,bt474_long,12,oe,0.7912735849056604
249,bt474_long,12,ko,0.9422169811320755
250,bt474_long,14,oe,1.0
