,network,robustness
0,bortezomib,0.9246038180678638
1,apoptosis,0.83099365234375
2,bt474_long,0.620863037109375
3,bt474_short,0.6413497924804688
4,colitis,0.8537863595145089
5,death,0.765030997140067
6,hcc1954_long,0.632037353515625
7,hcc1954_short,0.643035888671875
8,hgf,0.9055660472196692
9,mammalian,0.9486114501953125
10,mapk,0.9175063799012382
11,oxidative,0.9473684210526315
12,fibroblasts,0.7986935402849595
13,skbr3_long,0.7332763671875
14,skbr3_short,0.6141281127929688
15,tlgl_2008,0.8846390520940062
16,tlgl_2011,0.8995661417643229
17,migration,0.881596565246582
