,network,node,mut,robustness
164,apoptosis,19,oe,0.0
165,apoptosis,19,ko,1.0
166,apoptosis,30,oe,1.0
167,apoptosis,30,ko,1.0
168,apoptosis,9,oe,0.0
169,apoptosis,9,ko,1.0
170,apoptosis,10,oe,0.0
171,apoptosis,10,ko,1.0
172,apoptosis,38,oe,0.0
173,apoptosis,38,ko,1.0
174,apoptosis,13,oe,0.5
175,apoptosis,13,ko,1.0
176,apoptosis,11,oe,1.0
177,apoptosis,11,ko,1.0
178,apoptosis,12,oe,1.0
179,apoptosis,12,ko,1.0
180,apoptosis,37,oe,0.0
181,apoptosis,37,ko,1.0
182,apoptosis,14,oe,1.0
183,apoptosis,14,ko,1.0
184,apoptosis,28,oe,1.0
185,apoptosis,28,ko,1.0
186,apoptosis,33,oe,0.0
187,apoptosis,33,ko,1.0
188,apoptosis,16,oe,0.0
189,apoptosis,16,ko,1.0
190,apoptosis,17,oe,1.0
191,apoptosis,17,ko,1.0
192,apoptosis,39,oe,1.0
193,apoptosis,39,ko,1.0
194,apoptosis,22,oe,0.0
195,apoptosis,22,ko,1.0
196,apoptosis,18,oe,0.5
197,apoptosis,18,ko,1.0
198,apoptosis,34,oe,1.0
199,apoptosis,34,ko,1.0
200,apoptosis,20,oe,0.0
201,apoptosis,20,ko,1.0
202,apoptosis,35,oe,0.25
203,apoptosis,35,ko,1.0
204,apoptosis,29,oe,0.0
205,apoptosis,29,ko,1.0
206,apoptosis,21,oe,0.0
207,apoptosis,21,ko,1.0
208,apoptosis,32,oe,0.0
209,apoptosis,32,ko,1.0
210,apoptosis,25,oe,0.0
211,apoptosis,25,ko,1.0
212,apoptosis,26,oe,0.0
213,apoptosis,26,ko,1.0
214,apoptosis,31,oe,0.0
215,apoptosis,31,ko,1.0
216,bt474_long,0,oe,0.0
217,bt474_long,0,ko,1.0
218,bt474_long,1,oe,1.0
219,bt474_long,1,ko,0.0
220,bt474_long,2,oe,1.0
221,bt474_long,2,ko,1.0
222,bt474_long,3,oe,0.0
223,bt474_long,3,ko,1.0
224,bt474_long,4,oe,1.0
225,bt474_long,4,ko,1.0
226,bt474_long,13,oe,0.0
227,bt474_long,13,ko,0.0
228,bt474_long,15,oe,0.0
229,bt474_long,15,ko,1.0
230,bt474_long,9,oe,1.0
231,bt474_long,9,ko,0.0
232,bt474_long,5,oe,0.0
233,bt474_long,5,ko,1.0
234,bt474_long,8,oe,1.0
235,bt474_long,8,ko,0.0
236,bt474_long,6,oe,1.0
237,bt474_long,6,ko,0.0
238,bt474_long,21,oe,0.0
239,bt474_long,21,ko,1.0
240,bt474_long,11,oe,0.0
241,bt474_long,11,ko,1.0
242,bt474_long,23,oe,1.0
243,bt474_long,23,ko,1.0
244,bt474_long,7,oe,1.0
245,bt474_long,7,ko,1.0
246,bt474_long,16,oe,0.0
247,bt474_long,16,ko,1.0
248,bt474_long,12,oe,1.0
249,bt474_long,12,ko,1.0
250,bt474_long,14,oe,1.0
251,bt474_long,14,ko,0.0
252,bt474_long,10,oe,1.0
253,bt474_long,10,ko,1.0
254,bt474_long,18,oe,0.0
255,bt474_long,18,ko,0.0
256,bt474_long,24,oe,1.0
257,bt474_long,24,ko,1.0
258,bt474_long,22,oe,1.0
259,bt474_long,22,ko,1.0
260,bt474_long,17,oe,1.0
261,bt474_long,17,ko,1.0
262,bt474_long,20,oe,0.0
263,bt474_long,20,ko,1.0
264,bt474_long,19,oe,1.0
265,bt474_long,19,ko,1.0
266,bt474_short,0,oe,1.0
267,bt474_short,0,ko,0.0
268,bt474_short,1,oe,0.0
269,bt474_short,1,ko,1.0
270,bt474_short,2,oe,1.0
271,bt474_short,2,ko,1.0
272,bt474_short,3,oe,0.0
273,bt474_short,3,ko,1.0
274,bt474_short,4,oe,1.0
275,bt474_short,4,ko,0.0
276,bt474_short,5,oe,1.0
277,bt474_short,5,ko,0.0
278,bt474_short,9,oe,1.0
279,bt474_short,9,ko,1.0
280,bt474_short,15,oe,1.0
281,bt474_short,15,ko,0.0
282,bt474_short,14,oe,1.0
283,bt474_short,14,ko,1.0
284,bt474_short,6,oe,1.0
285,bt474_short,6,ko,1.0
286,bt474_short,8,oe,1.0
287,bt474_short,8,ko,0.0
288,bt474_short,7,oe,1.0
289,bt474_short,7,ko,1.0
290,bt474_short,10,oe,1.0
291,bt474_short,10,ko,1.0
292,bt474_short,12,oe,1.0
293,bt474_short,12,ko,0.0
294,bt474_short,11,oe,1.0
295,bt474_short,11,ko,1.0
296,bt474_short,13,oe,1.0
297,bt474_short,13,ko,1.0
298,colitis,0,oe,1.0
299,colitis,0,ko,1.0
300,colitis,65,oe,0.25
301,colitis,65,ko,0.25
302,colitis,1,oe,1.0
303,colitis,1,ko,1.0
304,colitis,36,oe,0.0
305,colitis,36,ko,0.0
306,colitis,37,oe,0.0
307,colitis,37,ko,1.0
308,colitis,63,oe,0.0
309,colitis,63,ko,1.0
310,colitis,47,oe,0.0
311,colitis,47,ko,1.0
312,colitis,2,oe,0.0
313,colitis,2,ko,1.0
314,colitis,40,oe,0.0
315,colitis,40,ko,1.0
316,colitis,25,oe,0.0
317,colitis,25,ko,1.0
318,colitis,3,oe,0.0
319,colitis,3,ko,1.0
320,colitis,11,oe,0.0
321,colitis,11,ko,0.0
322,colitis,4,oe,1.0
323,colitis,4,ko,0.0
324,colitis,10,oe,0.0
325,colitis,10,ko,1.0
326,colitis,59,oe,0.0
327,colitis,59,ko,0.0
328,colitis,5,oe,1.0
329,colitis,5,ko,0.0
330,colitis,54,oe,0.0
331,colitis,54,ko,1.0
332,colitis,6,oe,0.0
333,colitis,6,ko,1.0
334,colitis,7,oe,1.0
335,colitis,7,ko,0.0
336,colitis,67,oe,0.0
337,colitis,67,ko,0.0
338,colitis,9,oe,0.0
339,colitis,9,ko,0.0
340,colitis,62,oe,0.0
341,colitis,62,ko,1.0
342,colitis,8,oe,1.0
343,colitis,8,ko,0.3333333333333333
344,colitis,39,oe,0.0
345,colitis,39,ko,0.0
346,colitis,52,oe,0.0
347,colitis,52,ko,0.0
348,colitis,64,oe,1.0
349,colitis,64,ko,0.0
350,colitis,12,oe,0.0
351,colitis,12,ko,1.0
352,colitis,46,oe,0.0
353,colitis,46,ko,1.0
354,colitis,21,oe,0.0
355,colitis,21,ko,1.0
356,colitis,32,oe,0.0
357,colitis,32,ko,1.0
358,colitis,22,oe,0.0
359,colitis,22,ko,1.0
360,colitis,50,oe,1.0
361,colitis,50,ko,0.0
362,colitis,13,oe,1.0
363,colitis,13,ko,1.0
364,colitis,44,oe,0.0
365,colitis,44,ko,1.0
366,colitis,35,oe,0.0
367,colitis,35,ko,1.0
368,colitis,19,oe,1.0
369,colitis,19,ko,0.0
370,colitis,30,oe,1.0
371,colitis,30,ko,1.0
372,colitis,14,oe,0.0
373,colitis,14,ko,1.0
374,colitis,15,oe,1.0
375,colitis,15,ko,0.0
376,colitis,27,oe,1.0
377,colitis,27,ko,0.0
378,colitis,43,oe,1.0
379,colitis,43,ko,0.0
380,colitis,16,oe,0.0
381,colitis,16,ko,1.0
382,colitis,17,oe,0.0
383,colitis,17,ko,0.0
384,colitis,61,oe,0.0
385,colitis,61,ko,0.0
386,colitis,18,oe,0.0
387,colitis,18,ko,0.0
388,colitis,68,oe,0.0
389,colitis,68,ko,1.0
390,colitis,20,oe,1.0
391,colitis,20,ko,0.0
392,colitis,48,oe,1.0
393,colitis,48,ko,1.0
394,colitis,45,oe,1.0
395,colitis,45,ko,0.0
396,colitis,31,oe,1.0
397,colitis,31,ko,0.0
398,colitis,57,oe,0.0
399,colitis,57,ko,1.0
400,colitis,66,oe,1.0
401,colitis,66,ko,0.0
402,colitis,23,oe,0.25
403,colitis,23,ko,0.25
404,colitis,28,oe,0.25
405,colitis,28,ko,0.25
406,colitis,24,oe,1.0
407,colitis,24,ko,1.0
408,colitis,49,oe,1.0
409,colitis,49,ko,1.0
410,colitis,26,oe,0.0
411,colitis,26,ko,1.0
412,colitis,38,oe,0.0
413,colitis,38,ko,1.0
414,colitis,29,oe,0.0
415,colitis,29,ko,0.0
416,colitis,69,oe,0.0
417,colitis,69,ko,0.0
418,colitis,58,oe,0.0
419,colitis,58,ko,1.0
420,colitis,33,oe,0.0
421,colitis,33,ko,1.0
422,colitis,34,oe,1.0
423,colitis,34,ko,0.0
424,colitis,42,oe,0.0
425,colitis,42,ko,1.0
426,colitis,41,oe,1.0
427,colitis,41,ko,1.0
428,colitis,56,oe,0.0
429,colitis,56,ko,1.0
430,colitis,60,oe,0.0
431,colitis,60,ko,1.0
432,colitis,53,oe,0.0
433,colitis,53,ko,1.0
434,colitis,51,oe,1.0
435,colitis,51,ko,1.0
436,colitis,55,oe,1.0
437,colitis,55,ko,1.0
438,death,0,oe,0.0
439,death,0,ko,0.0
440,death,1,oe,1.0
441,death,1,ko,0.0
442,death,2,oe,0.0
443,death,2,ko,0.0
444,death,18,oe,0.0
445,death,18,ko,0.0
446,death,3,oe,0.0
447,death,3,ko,0.0
448,death,20,oe,0.0
449,death,20,ko,1.0
450,death,21,oe,0.0
451,death,21,ko,0.0
452,death,4,oe,1.0
453,death,4,ko,1.0
454,death,19,oe,0.0
455,death,19,ko,0.0
456,death,5,oe,0.0
457,death,5,ko,0.0
458,death,25,oe,1.0
459,death,25,ko,1.0
460,death,6,oe,0.0
461,death,6,ko,1.0
462,death,15,oe,0.0
463,death,15,ko,1.0
464,death,22,oe,0.0
465,death,22,ko,0.0
466,death,7,oe,0.0
467,death,7,ko,0.0
468,death,8,oe,0.0
469,death,8,ko,1.0
470,death,23,oe,0.0
471,death,23,ko,1.0
472,death,9,oe,1.0
473,death,9,ko,1.0
474,death,26,oe,0.0
475,death,26,ko,0.0
476,death,10,oe,0.0
477,death,10,ko,0.0
478,death,11,oe,0.0
479,death,11,ko,1.0
480,death,12,oe,0.0
481,death,12,ko,0.0
482,death,13,oe,0.0
483,death,13,ko,0.0
484,death,14,oe,1.0
485,death,14,ko,1.0
486,death,16,oe,0.0
487,death,16,ko,0.0
488,death,17,oe,1.0
489,death,17,ko,1.0
490,death,24,oe,0.0
491,death,24,ko,0.0
492,death,27,oe,0.0
493,death,27,ko,1.0
494,hcc1954_long,0,oe,0.0
495,hcc1954_long,0,ko,1.0
496,hcc1954_long,1,oe,0.0
497,hcc1954_long,1,ko,1.0
498,hcc1954_long,2,oe,1.0
499,hcc1954_long,2,ko,0.0
500,hcc1954_long,3,oe,1.0
501,hcc1954_long,3,ko,1.0
502,hcc1954_long,4,oe,1.0
503,hcc1954_long,4,ko,1.0
504,hcc1954_long,17,oe,1.0
505,hcc1954_long,17,ko,1.0
506,hcc1954_long,22,oe,1.0
507,hcc1954_long,22,ko,0.0
508,hcc1954_long,15,oe,1.0
509,hcc1954_long,15,ko,1.0
510,hcc1954_long,24,oe,1.0
511,hcc1954_long,24,ko,0.0
512,hcc1954_long,12,oe,1.0
513,hcc1954_long,12,ko,0.0
514,hcc1954_long,5,oe,0.0
515,hcc1954_long,5,ko,1.0
516,hcc1954_long,19,oe,1.0
517,hcc1954_long,19,ko,1.0
518,hcc1954_long,7,oe,0.0
519,hcc1954_long,7,ko,1.0
520,hcc1954_long,6,oe,1.0
521,hcc1954_long,6,ko,1.0
522,hcc1954_long,14,oe,1.0
523,hcc1954_long,14,ko,0.0
524,hcc1954_long,8,oe,0.0
525,hcc1954_long,8,ko,1.0
526,hcc1954_long,9,oe,0.0
527,hcc1954_long,9,ko,0.0
528,hcc1954_long,10,oe,1.0
529,hcc1954_long,10,ko,1.0
530,hcc1954_long,20,oe,1.0
531,hcc1954_long,20,ko,1.0
532,hcc1954_long,11,oe,0.0
533,hcc1954_long,11,ko,0.0
534,hcc1954_long,13,oe,1.0
535,hcc1954_long,13,ko,1.0
536,hcc1954_long,18,oe,1.0
537,hcc1954_long,18,ko,1.0
538,hcc1954_long,16,oe,1.0
539,hcc1954_long,16,ko,1.0
540,hcc1954_long,21,oe,0.0
